,DataSetName,NominalEncoder,OrdinalEncoder,Score,Roc_auc_score
325,Heart,LabelEncoder,HashingEncoder,0.72,0.7257799671592775
326,Heart,LabelEncoder,SumEncoder,0.72,0.7257799671592775
327,Heart,LabelEncoder,OneHotEncoder,0.72,0.7257799671592775
328,Heart,LabelEncoder,FrequencyEncoder,0.72,0.7257799671592775
329,Heart,LabelEncoder,TargetEncoder,0.72,0.7257799671592775
330,Heart,JamesSteinEncoder,BinaryEncoder,0.72,0.7257799671592775
331,Heart,JamesSteinEncoder,HelmertEncoder,0.72,0.7257799671592775
332,Heart,JamesSteinEncoder,LabelEncoder,0.72,0.7257799671592775
333,Heart,JamesSteinEncoder,JamesSteinEncoder,0.72,0.7257799671592775
334,Heart,JamesSteinEncoder,BaseNEncoder,0.72,0.7257799671592775
335,Heart,JamesSteinEncoder,HashingEncoder,0.72,0.7257799671592775
