,DataSetName,NominalEncoder,OrdinalEncoder,Score
351,bridges,LabelEncoder,BaseNEncoder,0.8
352,bridges,LabelEncoder,HelmertEncoder,0.8
353,bridges,LabelEncoder,SumEncoder,0.8
354,bridges,LabelEncoder,OneHotEncoder,0.8
355,bridges,LabelEncoder,LabelEncoder,0.8
356,bridges,LabelEncoder,BinaryEncoder,0.8
357,bridges,LabelEncoder,FrequencyEncoder,0.8
358,bridges,LabelEncoder,TargetEncoder,0.8
359,bridges,LabelEncoder,HashingEncoder,0.8
360,bridges,BinaryEncoder,JamesSteinEncoder,0.7142857142857143
361,bridges,BinaryEncoder,BaseNEncoder,0.7142857142857143
362,bridges,BinaryEncoder,HelmertEncoder,0.7142857142857143
363,bridges,BinaryEncoder,SumEncoder,0.7428571428571429
364,bridges,BinaryEncoder,OneHotEncoder,0.7428571428571429
365,bridges,BinaryEncoder,LabelEncoder,0.7142857142857143
366,bridges,BinaryEncoder,BinaryEncoder,0.7142857142857143
367,bridges,BinaryEncoder,FrequencyEncoder,0.7142857142857143
368,bridges,BinaryEncoder,TargetEncoder,0.7142857142857143
369,bridges,BinaryEncoder,HashingEncoder,0.7142857142857143
370,bridges,FrequencyEncoder,JamesSteinEncoder,0.6285714285714286
371,bridges,FrequencyEncoder,BaseNEncoder,0.6571428571428571
372,bridges,FrequencyEncoder,HelmertEncoder,0.6857142857142857
373,bridges,FrequencyEncoder,SumEncoder,0.6571428571428571
374,bridges,FrequencyEncoder,OneHotEncoder,0.6571428571428571
375,bridges,FrequencyEncoder,LabelEncoder,0.6285714285714286
376,bridges,FrequencyEncoder,BinaryEncoder,0.6571428571428571
377,bridges,FrequencyEncoder,FrequencyEncoder,0.6285714285714286
378,bridges,FrequencyEncoder,TargetEncoder,0.6285714285714286
379,bridges,FrequencyEncoder,HashingEncoder,0.6285714285714286
380,bridges,TargetEncoder,JamesSteinEncoder,0.7142857142857143
381,bridges,TargetEncoder,BaseNEncoder,0.7142857142857143
382,bridges,TargetEncoder,HelmertEncoder,0.7142857142857143
383,bridges,TargetEncoder,SumEncoder,0.7142857142857143
384,bridges,TargetEncoder,OneHotEncoder,0.7142857142857143
385,bridges,TargetEncoder,LabelEncoder,0.7142857142857143
386,bridges,TargetEncoder,BinaryEncoder,0.7142857142857143
387,bridges,TargetEncoder,FrequencyEncoder,0.7142857142857143
388,bridges,TargetEncoder,TargetEncoder,0.7142857142857143
389,bridges,TargetEncoder,HashingEncoder,0.7142857142857143
390,bridges,HashingEncoder,JamesSteinEncoder,0.7714285714285715
391,bridges,HashingEncoder,BaseNEncoder,0.7714285714285715
392,bridges,HashingEncoder,HelmertEncoder,0.7142857142857143
393,bridges,HashingEncoder,SumEncoder,0.7714285714285715
394,bridges,HashingEncoder,OneHotEncoder,0.7714285714285715
395,bridges,HashingEncoder,LabelEncoder,0.7714285714285715
396,bridges,HashingEncoder,BinaryEncoder,0.7714285714285715
397,bridges,HashingEncoder,FrequencyEncoder,0.7714285714285715
398,bridges,HashingEncoder,TargetEncoder,0.7714285714285715
399,bridges,HashingEncoder,HashingEncoder,0.6857142857142857
400,audiology,JamesSteinEncoder,JamesSteinEncoder,0.31746031746031744
401,audiology,JamesSteinEncoder,BaseNEncoder,0.31746031746031744
402,audiology,JamesSteinEncoder,HelmertEncoder,0.2857142857142857
403,audiology,JamesSteinEncoder,SumEncoder,0.2857142857142857
404,audiology,JamesSteinEncoder,OneHotEncoder,0.2857142857142857
405,audiology,JamesSteinEncoder,LabelEncoder,0.3333333333333333
406,audiology,JamesSteinEncoder,BinaryEncoder,0.31746031746031744
407,audiology,JamesSteinEncoder,FrequencyEncoder,0.30158730158730157
408,audiology,JamesSteinEncoder,TargetEncoder,0.31746031746031744
409,audiology,JamesSteinEncoder,HashingEncoder,0.2857142857142857
410,audiology,BaseNEncoder,JamesSteinEncoder,0.15873015873015872
411,audiology,BaseNEncoder,BaseNEncoder,0.19047619047619047
412,audiology,BaseNEncoder,HelmertEncoder,0.15873015873015872
413,audiology,BaseNEncoder,SumEncoder,0.19047619047619047
414,audiology,BaseNEncoder,OneHotEncoder,0.19047619047619047
415,audiology,BaseNEncoder,LabelEncoder,0.23809523809523808
416,audiology,BaseNEncoder,BinaryEncoder,0.19047619047619047
